000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
STP,000,000,000,000,000,000,000,000,000,000,000,000,000,000,LAZ
WAL,000,000,000,000,000,000,000,000,000,000,000,000,000,000,WAL
WAL,000,000,000,000,000,000,000,000,000,000,000,000,000,000,WAL
WAL,000,000,000,000,000,000,000,000,000,000,000,000,WAL,WAL,WAL
WAL,000,000,000,000,000,000,000,000,000,000,000,000,WAL,WAL,WAL
WAL,000,000,000,000,000,000,000,000,000,000,WAL,WAL,WAL,WAL,WAL
WAL,000,000,000,000,000,000,000,000,000,000,WAL,WAL,WAL,WAL,WAL
WAL,000,000,000,000,000,000,000,000,000,WAL,WAL,WAL,WAL,WAL,WAL
WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL
