000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
STP,000,000,000,000,000,000,000,000,000,000,000,000,000,000,STP
WAL,WAL,000,000,000,000,000,000,000,000,000,000,000,000,WAL,WAL
WAL,WAL,000,000,000,000,000,000,000,000,000,000,000,000,WAL,WAL
WAL,WAL,000,000,000,000,000,000,000,000,000,000,000,000,WAL,WAL
WAL,WAL,000,000,000,000,000,LAZ,000,000,000,000,000,000,WAL,WAL
WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL
WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL
